formula_perception_1  | x:nan,	y:nan
formula_perception_1  | obj_id = 2,  x = 287, y = 193, w = 55 x_3d = -0.0181 y_3d = 0.198 z_3d = 1.61, prob = 0.311
formula_perception_1  | x:-0.217373,	y:0.0232422
formula_perception_1  | obj_id = 2,  x = 286, y = 193, w = 52 x_3d = -0.0274 y_3d = 0.196 z_3d = 1.61, prob = 0.262
formula_perception_1  | x:-0.222779,	y:0.0233275
formula_perception_1  | obj_id = 2,  x = 279, y = 190, w = 58 x_3d = -0.0416 y_3d = 0.199 z_3d = 1.64, prob = 0.267
formula_perception_1  | x:-0.259218,	y:0.00966121
formula_perception_1  | obj_id = 2,  x = 286, y = 193, w = 54 x_3d = -0.0227 y_3d = 0.199 z_3d = 1.61, prob = 0.3
formula_perception_1  | x:-0.222122,	y:0.0232588
formula_perception_1  | obj_id = 2,  x = 287, y = 193, w = 51 x_3d = -0.0274 y_3d = 0.2 z_3d = 1.61, prob = 0.283
formula_perception_1  | x:-0.21768,	y:0.023275
formula_perception_1  | obj_id = 2,  x = 279, y = 190, w = 57 x_3d = -0.0462 y_3d = 0.202 z_3d = 1.63, prob = 0.26
formula_perception_1  | x:-0.257371,	y:0.0095924
formula_perception_1  | obj_id = 2,  x = 287, y = 193, w = 53 x_3d = -0.0227 y_3d = 0.2 z_3d = 1.61, prob = 0.302
formula_perception_1  | x:-0.217557,	y:0.0232618
formula_perception_1  | obj_id = 2,  x = 287, y = 193, w = 51 x_3d = -0.0274 y_3d = 0.196 z_3d = 1.61, prob = 0.26
formula_perception_1  | x:-0.218142,	y:0.0233243
formula_perception_1  | obj_id = 2,  x = 286, y = 193, w = 50 x_3d = -0.0321 y_3d = 0.197 z_3d = 1.61, prob = 0.27
formula_perception_1  | x:-0.223129,	y:0.0233641
formula_perception_1  | obj_id = 2,  x = 279, y = 190, w = 57 x_3d = -0.0461 y_3d = 0.201 z_3d = 1.63, prob = 0.271
formula_perception_1  | x:-0.257361,	y:0.00959196
